case_id,case_name,priority,step_order,step_description,expected_result
TC-007,ดูโปรไฟล์แบบแท็บ,Medium,2,คลิกแท็บ 'งาน & การจ้าง',แสดงเฉพาะ pane นั้น (active เดียว) + lifecycle cards
TC-008,ปกปิดข้อมูลอ่อนไหวตามสิทธิ์,High,1,login ด้วย role ที่ไม่มีสิทธิ์เห็นเงินเดือน,เข้าระบบได้
TC-008,ปกปิดข้อมูลอ่อนไหวตามสิทธิ์,High,2,เปิดโปรไฟล์ แท็บงาน & การจ้าง,salary/bank/national_id แสดง masked (*** / 4 ท้าย)
TC-009,แก้ไขข้อมูลทั่วไป,Medium,1,เปิดโปรไฟล์ กดปุ่ม 'แก้ไข',เข้าหน้าแก้ไข (full-page) โหลดค่าเดิม
TC-009,แก้ไขข้อมูลทั่วไป,Medium,2,แก้เบอร์โทร (ข้อมูล: 081-234-5678),ค่าในช่องเปลี่ยน
TC-009,แก้ไขข้อมูลทั่วไป,Medium,3,กดบันทึก,Toast success + กลับโปรไฟล์ + ค่าใหม่แสดง
TC-010,optimistic lock conflict,High,1,เปิดแก้ไขพนักงานคนเดียวกันใน 2 หน้าต่าง,ทั้งสองโหลด version เดียวกัน
TC-010,optimistic lock conflict,High,2,หน้าต่างที่ 1 บันทึก,สำเร็จ version bump
TC-010,optimistic lock conflict,High,3,หน้าต่างที่ 2 บันทึกด้วย version เก่า,แสดง ERR_VERSION_CONFLICT
TC-011,แก้ข้อมูลอ่อนไหวเข้า approval,High,1,login HR Officer เปิดแก้ไข,หน้าแก้ไข
TC-011,แก้ข้อมูลอ่อนไหวเข้า approval,High,2,แก้ค่า grade/เลขบัญชีธนาคาร (ข้อมูล: DATA-006),-
TC-011,แก้ข้อมูลอ่อนไหวเข้า approval,High,3,กดบันทึก,เข้าสู่ approval flow (HR Manager → HR Director) หรือ ERR_SENSITIVE_CHANGE_NEEDS_APPROVAL
TC-012,supervisor cycle,Medium,1,เปิดแก้ไขพนักงาน A,หน้าแก้ไข
TC-012,supervisor cycle,Medium,2,ตั้ง supervisor เป็น B (ที่ A เป็นหัวหน้าของ B อยู่) (ข้อมูล: DATA-007),-
TC-012,supervisor cycle,Medium,3,กดบันทึก,แสดง ERR_INVALID_SUPERVISOR
TC-013,ลบพนักงานที่มี user (block),High,1,เปิดโปรไฟล์พนักงานที่มี linked user กดปุ่ม 'ลบ',แสดง modal ยืนยัน
TC-013,ลบพนักงานที่มี user (block),High,2,ยืนยันลบ,BLOCK + ข้อความให้ถอนบัญชีก่อน (ERR_EMPLOYEE_HAS_LINKED_USER)
TC-014,ลบพนักงานที่ไม่มี user,Medium,1,เปิดโปรไฟล์พนักงานที่ไม่มี user กด 'ลบ',แสดง modal ยืนยัน
TC-014,ลบพนักงานที่ไม่มี user,Medium,2,ยืนยันลบ,soft-delete สำเร็จ + หายจาก list + audit
TC-015,ผลทดลองงานผ่าน → active,High,1,เปิดพนักงาน status=probation แท็บงาน บันทึกผลทดลองงาน (ข้อมูล: DATA-010),-
TC-015,ผลทดลองงานผ่าน → active,High,2,เลือกผล 'passed' + อนุมัติ,status เปลี่ยนเป็น active + บันทึก eval fields
TC-016,ผลทดลองงาน failed ไม่ใส่เหตุผล,Medium,1,เปิดพนักงาน status=probation,-
TC-016,ผลทดลองงาน failed ไม่ใส่เหตุผล,Medium,2,เลือกผล 'failed' โดยไม่ใส่เหตุผล แล้วบันทึก,แสดง ERR_REASON_REQUIRED
TC-017,เปลี่ยนสถานะข้ามขั้น,Medium,1,เปิดพนักงาน status=onboarding,-
TC-017,เปลี่ยนสถานะข้ามขั้น,Medium,2,พยายามสั่งลาออกโดยตรง (ข้อมูล: DATA-011),แสดง ERR_INVALID_STATE_TRANSITION
TC-018,บันทึกการพ้นสภาพ,Medium,1,เปิดพนักงาน status=active บันทึกการลาออก (ข้อมูล: DATA-011),-
TC-018,บันทึกการพ้นสภาพ,Medium,2,กรอกประเภท/วันมีผล/เหตุผล แล้วอนุมัติ (ข้อมูล: DATA-011),status=resigned + set resign fields + audit
TC-019,นำเข้า CSV (preview+apply),High,1,กดปุ่ม 'นำเข้า CSV' ที่หน้า List,เปิด modal นำเข้า
TC-019,นำเข้า CSV (preview+apply),High,2,อัปโหลดไฟล์ CSV ที่ถูกต้อง (ข้อมูล: DATA-008),แสดง preview ผ่าน/ไม่ผ่านรายแถว
TC-019,นำเข้า CSV (preview+apply),High,3,เลือกโหมด merge แล้วกด apply,นำเข้าสำเร็จ + จำนวน inserted/updated ตรง
TC-020,นำเข้า CSV Replace คง linked-user,Medium,1,เปิด modal นำเข้า เลือกโหมด Replace,-
TC-020,นำเข้า CSV Replace คง linked-user,Medium,2,อัปโหลด CSV + apply (ข้อมูล: DATA-008),พนักงานที่มี linked user ยังคงอยู่ ไม่ถูกลบ
TC-021,ส่งออก CSV + audit,High,1,กดปุ่ม 'ส่งออก CSV' ที่หน้า List,ดาวน์โหลดไฟล์ CSV
TC-021,ส่งออก CSV + audit,High,2,ตรวจไฟล์,Restricted columns ถูก exclude ถ้าไม่ผ่าน ACL + ระบบบันทึก audit การ export
TC-022,ค้นหา/กรองรายการ,Medium,1,พิมพ์คำค้นในช่องค้นหา (รหัส/ชื่อ) (ข้อมูล: สมชาย),แสดงผลตรงคำค้น + ตัวนับอัปเดต
TC-022,ค้นหา/กรองรายการ,Medium,2,เลือกกรองสายงานและสถานะ,แสดงเฉพาะที่ตรงเงื่อนไข
TC-022,ค้นหา/กรองรายการ,Medium,3,กด Reset,ล้างตัวกรอง + แสดงทั้งหมด
